Dis,Terminal ID,Terminal,Time slot,Nb of releases,Nb of bike returns,Balance
Vilnius,6,6-HALES TURGAVIETE,19H - 20H,485,448,-37
Vilnius,6,6-HALES TURGAVIETE,20H - 21H,374,379,5
Vilnius,6,6-HALES TURGAVIETE,21H - 22H,264,290,26
Vilnius,6,6-HALES TURGAVIETE,22H - 23H,175,242,67
Vilnius,6,6-HALES TURGAVIETE,23H - 24H,130,131,1
Vilnius,7,7-STOTIS,00H - 01H,11,13,2
Vilnius,7,7-STOTIS,01H - 02H,11,8,-3
Vilnius,7,7-STOTIS,02H - 03H,8,5,-3
Vilnius,7,7-STOTIS,03H - 04H,5,7,2
Vilnius,7,7-STOTIS,04H - 05H,2,3,1
Vilnius,7,7-STOTIS,05H - 06H,0,4,4
Vilnius,7,7-STOTIS,06H - 07H,29,356,327
Vilnius,7,7-STOTIS,07H - 08H,410,238,-172
Vilnius,7,7-STOTIS,08H - 09H,229,257,28
Vilnius,7,7-STOTIS,09H - 10H,176,173,-3
Vilnius,7,7-STOTIS,10H - 11H,100,172,72
Vilnius,7,7-STOTIS,11H - 12H,104,122,18
Vilnius,7,7-STOTIS,12H - 13H,125,112,-13
Vilnius,7,7-STOTIS,13H - 14H,127,101,-26
Vilnius,7,7-STOTIS,14H - 15H,119,114,-5
Vilnius,7,7-STOTIS,15H - 16H,147,126,-21
Vilnius,7,7-STOTIS,16H - 17H,208,141,-67
Vilnius,7,7-STOTIS,17H - 18H,222,232,10
Vilnius,7,7-STOTIS,18H - 19H,266,255,-11
Vilnius,7,7-STOTIS,19H - 20H,193,163,-30
Vilnius,7,7-STOTIS,20H - 21H,188,147,-41
Vilnius,7,7-STOTIS,21H - 22H,121,105,-16
Vilnius,7,7-STOTIS,22H - 23H,83,48,-35
Vilnius,7,7-STOTIS,23H - 24H,47,21,-26
Vilnius,8,8-MAIRONIO G.,00H - 01H,32,60,28
Vilnius,8,8-MAIRONIO G.,01H - 02H,26,33,7
Vilnius,8,8-MAIRONIO G.,02H - 03H,3,17,14
Vilnius,8,8-MAIRONIO G.,03H - 04H,5,15,10
Vilnius,8,8-MAIRONIO G.,04H - 05H,5,8,3
Vilnius,8,8-MAIRONIO G.,05H - 06H,1,23,22
Vilnius,8,8-MAIRONIO G.,06H - 07H,108,14,-94
Vilnius,8,8-MAIRONIO G.,07H - 08H,290,49,-241
Vilnius,8,8-MAIRONIO G.,08H - 09H,552,253,-299
Vilnius,8,8-MAIRONIO G.,09H - 10H,317,257,-60
Vilnius,8,8-MAIRONIO G.,10H - 11H,176,200,24
Vilnius,8,8-MAIRONIO G.,11H - 12H,190,190,0
Vilnius,8,8-MAIRONIO G.,12H - 13H,274,296,22
Vilnius,8,8-MAIRONIO G.,13H - 14H,266,239,-27
Vilnius,8,8-MAIRONIO G.,14H - 15H,354,258,-96
Vilnius,8,8-MAIRONIO G.,15H - 16H,325,324,-1
Vilnius,8,8-MAIRONIO G.,16H - 17H,385,394,9
Vilnius,8,8-MAIRONIO G.,17H - 18H,335,550,215
Vilnius,8,8-MAIRONIO G.,18H - 19H,493,644,151
Vilnius,8,8-MAIRONIO G.,19H - 20H,506,539,33
Vilnius,8,8-MAIRONIO G.,20H - 21H,393,432,39
Vilnius,8,8-MAIRONIO G.,21H - 22H,189,311,122
Vilnius,8,8-MAIRONIO G.,22H - 23H,117,184,67
Vilnius,8,8-MAIRONIO G.,23H - 24H,62,125,63
Vilnius,9,9-UŽUPIS,00H - 01H,38,76,38
Vilnius,9,9-UŽUPIS,01H - 02H,15,43,28
Vilnius,9,9-UŽUPIS,02H - 03H,9,31,22
Vilnius,9,9-UŽUPIS,03H - 04H,4,16,12
Vilnius,9,9-UŽUPIS,04H - 05H,4,20,16
Vilnius,9,9-UŽUPIS,05H - 06H,5,10,5
Vilnius,9,9-UŽUPIS,06H - 07H,53,201,148
Vilnius,9,9-UŽUPIS,07H - 08H,490,233,-257
Vilnius,9,9-UŽUPIS,08H - 09H,768,518,-250
Vilnius,9,9-UŽUPIS,09H - 10H,499,469,-30
Vilnius,9,9-UŽUPIS,10H - 11H,228,271,43
Vilnius,9,9-UŽUPIS,11H - 12H,238,198,-40
Vilnius,9,9-UŽUPIS,12H - 13H,263,264,1
Vilnius,9,9-UŽUPIS,13H - 14H,271,264,-7
Vilnius,9,9-UŽUPIS,14H - 15H,304,252,-52
Vilnius,9,9-UŽUPIS,15H - 16H,330,295,-35
Vilnius,9,9-UŽUPIS,16H - 17H,299,302,3
Vilnius,9,9-UŽUPIS,17H - 18H,363,465,102
Vilnius,9,9-UŽUPIS,18H - 19H,457,462,5
Vilnius,9,9-UŽUPIS,19H - 20H,387,383,-4
Vilnius,9,9-UŽUPIS,20H - 21H,354,381,27
Vilnius,9,9-UŽUPIS,21H - 22H,201,268,67
Vilnius,9,9-UŽUPIS,22H - 23H,102,198,96
Vilnius,9,9-UŽUPIS,23H - 24H,61,120,59
Vilnius,10,10-KALNU PARKAS,00H - 01H,16,39,23
Vilnius,10,10-KALNU PARKAS,01H - 02H,6,16,10
Vilnius,10,10-KALNU PARKAS,02H - 03H,4,18,14
Vilnius,10,10-KALNU PARKAS,03H - 04H,4,7,3
Vilnius,10,10-KALNU PARKAS,04H - 05H,6,9,3
Vilnius,10,10-KALNU PARKAS,05H - 06H,3,6,3
Vilnius,10,10-KALNU PARKAS,06H - 07H,44,154,110
Vilnius,10,10-KALNU PARKAS,07H - 08H,659,256,-403
Vilnius,10,10-KALNU PARKAS,08H - 09H,740,553,-187
Vilnius,10,10-KALNU PARKAS,09H - 10H,332,455,123
Vilnius,10,10-KALNU PARKAS,10H - 11H,267,338,71
Vilnius,10,10-KALNU PARKAS,11H - 12H,197,261,64
Vilnius,10,10-KALNU PARKAS,12H - 13H,319,351,32
Vilnius,10,10-KALNU PARKAS,13H - 14H,256,265,9
Vilnius,10,10-KALNU PARKAS,14H - 15H,430,291,-139
Vilnius,10,10-KALNU PARKAS,15H - 16H,422,392,-30
Vilnius,10,10-KALNU PARKAS,16H - 17H,528,629,101
Vilnius,10,10-KALNU PARKAS,17H - 18H,582,705,123
Vilnius,10,10-KALNU PARKAS,18H - 19H,481,467,-14
Vilnius,10,10-KALNU PARKAS,19H - 20H,387,358,-29
