Dis,Terminal ID,Terminal,Time slot,Nb of releases,Nb of bike returns,Balance
Vilnius,33,33-LIETUVOS VAIKU IR JAUNIMO CENTRAS,20H - 21H,227,244,17
Vilnius,33,33-LIETUVOS VAIKU IR JAUNIMO CENTRAS,21H - 22H,143,140,-3
Vilnius,33,33-LIETUVOS VAIKU IR JAUNIMO CENTRAS,22H - 23H,76,122,46
Vilnius,33,33-LIETUVOS VAIKU IR JAUNIMO CENTRAS,23H - 24H,39,65,26
Vilnius,35,35-VILNIAUS VARTAI,00H - 01H,36,25,-11
Vilnius,35,35-VILNIAUS VARTAI,01H - 02H,24,13,-11
Vilnius,35,35-VILNIAUS VARTAI,02H - 03H,16,4,-12
Vilnius,35,35-VILNIAUS VARTAI,03H - 04H,15,4,-11
Vilnius,35,35-VILNIAUS VARTAI,04H - 05H,8,1,-7
Vilnius,35,35-VILNIAUS VARTAI,05H - 06H,0,1,1
Vilnius,35,35-VILNIAUS VARTAI,06H - 07H,178,5,-173
Vilnius,35,35-VILNIAUS VARTAI,07H - 08H,210,407,197
Vilnius,35,35-VILNIAUS VARTAI,08H - 09H,286,705,419
Vilnius,35,35-VILNIAUS VARTAI,09H - 10H,260,463,203
Vilnius,35,35-VILNIAUS VARTAI,10H - 11H,222,177,-45
Vilnius,35,35-VILNIAUS VARTAI,11H - 12H,427,187,-240
Vilnius,35,35-VILNIAUS VARTAI,12H - 13H,451,326,-125
Vilnius,35,35-VILNIAUS VARTAI,13H - 14H,263,486,223
Vilnius,35,35-VILNIAUS VARTAI,14H - 15H,198,187,-11
Vilnius,35,35-VILNIAUS VARTAI,15H - 16H,262,225,-37
Vilnius,35,35-VILNIAUS VARTAI,16H - 17H,458,293,-165
Vilnius,35,35-VILNIAUS VARTAI,17H - 18H,624,328,-296
Vilnius,35,35-VILNIAUS VARTAI,18H - 19H,465,422,-43
Vilnius,35,35-VILNIAUS VARTAI,19H - 20H,201,259,58
Vilnius,35,35-VILNIAUS VARTAI,20H - 21H,161,210,49
Vilnius,35,35-VILNIAUS VARTAI,21H - 22H,88,136,48
Vilnius,35,35-VILNIAUS VARTAI,22H - 23H,57,63,6
Vilnius,35,35-VILNIAUS VARTAI,23H - 24H,40,31,-9
Vilnius,36,36-AUTOBUSU STOTIS,00H - 01H,27,45,18
Vilnius,36,36-AUTOBUSU STOTIS,01H - 02H,12,22,10
Vilnius,36,36-AUTOBUSU STOTIS,02H - 03H,8,18,10
Vilnius,36,36-AUTOBUSU STOTIS,03H - 04H,3,9,6
Vilnius,36,36-AUTOBUSU STOTIS,04H - 05H,1,11,10
Vilnius,36,36-AUTOBUSU STOTIS,05H - 06H,9,4,-5
Vilnius,36,36-AUTOBUSU STOTIS,06H - 07H,90,245,155
Vilnius,36,36-AUTOBUSU STOTIS,07H - 08H,423,222,-201
Vilnius,36,36-AUTOBUSU STOTIS,08H - 09H,384,248,-136
Vilnius,36,36-AUTOBUSU STOTIS,09H - 10H,208,189,-19
Vilnius,36,36-AUTOBUSU STOTIS,10H - 11H,127,145,18
Vilnius,36,36-AUTOBUSU STOTIS,11H - 12H,132,182,50
Vilnius,36,36-AUTOBUSU STOTIS,12H - 13H,144,126,-18
Vilnius,36,36-AUTOBUSU STOTIS,13H - 14H,175,116,-59
Vilnius,36,36-AUTOBUSU STOTIS,14H - 15H,168,196,28
Vilnius,36,36-AUTOBUSU STOTIS,15H - 16H,190,175,-15
Vilnius,36,36-AUTOBUSU STOTIS,16H - 17H,196,190,-6
Vilnius,36,36-AUTOBUSU STOTIS,17H - 18H,231,279,48
Vilnius,36,36-AUTOBUSU STOTIS,18H - 19H,182,224,42
Vilnius,36,36-AUTOBUSU STOTIS,19H - 20H,214,175,-39
Vilnius,36,36-AUTOBUSU STOTIS,20H - 21H,139,168,29
Vilnius,36,36-AUTOBUSU STOTIS,21H - 22H,94,139,45
Vilnius,36,36-AUTOBUSU STOTIS,22H - 23H,79,73,-6
Vilnius,36,36-AUTOBUSU STOTIS,23H - 24H,37,73,36
Vilnius,38,38-ŠILO TILTAS,00H - 01H,27,78,51
Vilnius,38,38-ŠILO TILTAS,01H - 02H,13,61,48
Vilnius,38,38-ŠILO TILTAS,02H - 03H,13,28,15
Vilnius,38,38-ŠILO TILTAS,03H - 04H,8,38,30
Vilnius,38,38-ŠILO TILTAS,04H - 05H,4,16,12
Vilnius,38,38-ŠILO TILTAS,05H - 06H,9,12,3
Vilnius,38,38-ŠILO TILTAS,06H - 07H,181,105,-76
Vilnius,38,38-ŠILO TILTAS,07H - 08H,972,337,-635
Vilnius,38,38-ŠILO TILTAS,08H - 09H,649,444,-205
Vilnius,38,38-ŠILO TILTAS,09H - 10H,442,337,-105
Vilnius,38,38-ŠILO TILTAS,10H - 11H,281,287,6
Vilnius,38,38-ŠILO TILTAS,11H - 12H,310,263,-47
Vilnius,38,38-ŠILO TILTAS,12H - 13H,378,409,31
Vilnius,38,38-ŠILO TILTAS,13H - 14H,338,351,13
Vilnius,38,38-ŠILO TILTAS,14H - 15H,450,378,-72
Vilnius,38,38-ŠILO TILTAS,15H - 16H,520,446,-74
Vilnius,38,38-ŠILO TILTAS,16H - 17H,591,749,158
Vilnius,38,38-ŠILO TILTAS,17H - 18H,964,1315,351
Vilnius,38,38-ŠILO TILTAS,18H - 19H,1083,1012,-71
Vilnius,38,38-ŠILO TILTAS,19H - 20H,838,736,-102
Vilnius,38,38-ŠILO TILTAS,20H - 21H,577,749,172
Vilnius,38,38-ŠILO TILTAS,21H - 22H,331,534,203
Vilnius,38,38-ŠILO TILTAS,22H - 23H,126,312,186
Vilnius,38,38-ŠILO TILTAS,23H - 24H,52,159,107
Vilnius,39,39-ŠIAURES MIESTELIS,00H - 01H,31,86,55
Vilnius,39,39-ŠIAURES MIESTELIS,01H - 02H,11,67,56
Vilnius,39,39-ŠIAURES MIESTELIS,02H - 03H,9,39,30
Vilnius,39,39-ŠIAURES MIESTELIS,03H - 04H,4,39,35
Vilnius,39,39-ŠIAURES MIESTELIS,04H - 05H,3,25,22
Vilnius,39,39-ŠIAURES MIESTELIS,05H - 06H,3,10,7
Vilnius,39,39-ŠIAURES MIESTELIS,06H - 07H,100,403,303
Vilnius,39,39-ŠIAURES MIESTELIS,07H - 08H,882,279,-603
Vilnius,39,39-ŠIAURES MIESTELIS,08H - 09H,634,442,-192
Vilnius,39,39-ŠIAURES MIESTELIS,09H - 10H,232,432,200
Vilnius,39,39-ŠIAURES MIESTELIS,10H - 11H,198,206,8
Vilnius,39,39-ŠIAURES MIESTELIS,11H - 12H,258,178,-80
Vilnius,39,39-ŠIAURES MIESTELIS,12H - 13H,265,199,-66
Vilnius,39,39-ŠIAURES MIESTELIS,13H - 14H,256,233,-23
Vilnius,39,39-ŠIAURES MIESTELIS,14H - 15H,243,275,32
Vilnius,39,39-ŠIAURES MIESTELIS,15H - 16H,312,297,-15
Vilnius,39,39-ŠIAURES MIESTELIS,16H - 17H,424,367,-57
Vilnius,39,39-ŠIAURES MIESTELIS,17H - 18H,675,753,78
Vilnius,39,39-ŠIAURES MIESTELIS,18H - 19H,615,704,89
Vilnius,39,39-ŠIAURES MIESTELIS,19H - 20H,510,460,-50
Vilnius,39,39-ŠIAURES MIESTELIS,20H - 21H,418,396,-22
Vilnius,39,39-ŠIAURES MIESTELIS,21H - 22H,247,241,-6
Vilnius,39,39-ŠIAURES MIESTELIS,22H - 23H,100,221,121
Vilnius,39,39-ŠIAURES MIESTELIS,23H - 24H,54,136,82
Vilnius,40,40-OGMIOS MIESTAS,00H - 01H,13,38,25
Vilnius,40,40-OGMIOS MIESTAS,01H - 02H,7,16,9
Vilnius,40,40-OGMIOS MIESTAS,02H - 03H,3,10,7
Vilnius,40,40-OGMIOS MIESTAS,03H - 04H,1,12,11
Vilnius,40,40-OGMIOS MIESTAS,04H - 05H,1,4,3
Vilnius,40,40-OGMIOS MIESTAS,05H - 06H,3,3,0
Vilnius,40,40-OGMIOS MIESTAS,06H - 07H,30,67,37
Vilnius,40,40-OGMIOS MIESTAS,07H - 08H,97,66,-31
Vilnius,40,40-OGMIOS MIESTAS,08H - 09H,260,150,-110
Vilnius,40,40-OGMIOS MIESTAS,09H - 10H,73,92,19
Vilnius,40,40-OGMIOS MIESTAS,10H - 11H,52,103,51
Vilnius,40,40-OGMIOS MIESTAS,11H - 12H,90,116,26
Vilnius,40,40-OGMIOS MIESTAS,12H - 13H,104,106,2
Vilnius,40,40-OGMIOS MIESTAS,13H - 14H,90,71,-19
Vilnius,40,40-OGMIOS MIESTAS,14H - 15H,83,102,19
Vilnius,40,40-OGMIOS MIESTAS,15H - 16H,141,109,-32
Vilnius,40,40-OGMIOS MIESTAS,16H - 17H,150,189,39
Vilnius,40,40-OGMIOS MIESTAS,17H - 18H,322,361,39
Vilnius,40,40-OGMIOS MIESTAS,18H - 19H,284,246,-38
Vilnius,40,40-OGMIOS MIESTAS,19H - 20H,198,161,-37
Vilnius,40,40-OGMIOS MIESTAS,20H - 21H,154,131,-23
Vilnius,40,40-OGMIOS MIESTAS,21H - 22H,92,81,-11
Vilnius,40,40-OGMIOS MIESTAS,22H - 23H,34,39,5
Vilnius,40,40-OGMIOS MIESTAS,23H - 24H,17,33,16
